Rank,grid_id,Actual_Crime_Count,Target_Period
1164,2206,0,202302
1165,28,0,202302
1166,2818,0,202302
1167,2732,0,202302
1168,1877,0,202302
1169,2048,0,202302
1170,1054,0,202302
1171,496,0,202302
1172,491,0,202302
1173,191,0,202302
1174,2478,0,202302
1175,439,0,202302
1176,1195,0,202302
1177,1202,0,202302
1178,1837,0,202302
1179,2322,0,202302
1180,2761,0,202302
1181,2207,0,202302
1182,2792,0,202302
1183,1266,0,202302
1184,219,0,202302
1185,2128,0,202302
1186,2756,0,202302
1187,668,0,202302
1188,2173,0,202302
1189,909,0,202302
1190,1941,0,202302
1191,968,0,202302
1192,2257,0,202302
1193,538,0,202302
1194,1402,0,202302
1195,447,0,202302
1196,2456,0,202302
1197,162,0,202302
1198,967,0,202302
1199,319,0,202302
1200,1038,0,202302
1201,2522,0,202302
1202,1485,0,202302
1203,2828,0,202302
1204,1785,0,202302
1205,2160,0,202302
1206,1537,0,202302
1207,1620,0,202302
1208,188,0,202302
1209,1866,0,202302
1210,18,0,202302
1211,1792,0,202302
1212,322,0,202302
1213,2781,0,202302
1214,2563,0,202302
1215,2324,0,202302
1216,2198,0,202302
1217,2138,0,202302
1218,1044,0,202302
1219,1141,0,202302
1220,769,0,202302
1221,1991,0,202302
1222,66,0,202302
1223,2713,0,202302
1224,1878,0,202302
1225,2309,0,202302
1226,596,0,202302
1227,817,0,202302
1228,715,0,202302
1229,1464,0,202302
1230,2434,0,202302
1231,311,0,202302
1232,1379,0,202302
1233,463,0,202302
1234,2689,0,202302
1235,260,0,202302
1236,1623,0,202302
1237,222,0,202302
1238,1347,0,202302
1239,2789,0,202302
1240,277,0,202302
1241,2638,0,202302
1242,1590,0,202302
1243,581,0,202302
1244,1722,0,202302
1245,1050,0,202302
1246,712,0,202302
1247,1486,0,202302
1248,2072,0,202302
1249,2225,0,202302
1250,1428,0,202302
1251,1271,0,202302
1252,1673,0,202302
1253,869,0,202302
1254,376,0,202302
1255,1375,0,202302
1256,1232,0,202302
1257,810,0,202302
1258,2539,0,202302
1259,2211,0,202302
1260,1418,0,202302
1261,1055,0,202302
1262,1701,0,202302
1263,1146,0,202302
1264,1863,0,202302
1265,1151,0,202302
1266,2601,0,202302
1267,446,0,202302
1268,307,0,202302
1269,1545,0,202302
1270,1233,0,202302
1271,101,0,202302
1272,741,0,202302
1273,2096,0,202302
1274,1773,0,202302
1275,2700,0,202302
1276,1077,0,202302
1277,1027,0,202302
1278,722,0,202302
1279,634,0,202302
1280,373,0,202302
1281,314,0,202302
1282,2696,0,202302
1283,2609,0,202302
1284,2576,0,202302
1285,1386,0,202302
1286,2485,0,202302
1287,2341,0,202302
1288,2089,0,202302
1289,1629,0,202302
1290,1335,0,202302
1291,2776,0,202302
1292,2383,0,202302
1293,2256,0,202302
1294,1670,0,202302
1295,164,0,202302
1296,2519,0,202302
1297,934,0,202302
1298,871,0,202302
1299,601,0,202302
1300,515,0,202302
1301,422,0,202302
1302,380,0,202302
1303,2644,0,202302
1304,2588,0,202302
1305,2559,0,202302
1306,1516,0,202302
1307,2331,0,202302
1308,2030,0,202302
1309,1992,0,202302
1310,170,0,202302
1311,1684,0,202302
1312,151,0,202302
1313,125,0,202302
1314,2482,0,202302
1315,2436,0,202302
1316,1118,0,202302
1317,2354,0,202302
1318,1327,0,202302
1319,273,0,202302
1320,2120,0,202302
1321,200,0,202302
1322,1816,0,202302
1323,1546,0,202302
1324,1210,0,202302
1325,816,0,202302
1326,7,0,202302
1327,675,0,202302
1328,952,0,202302
1329,2499,0,202302
1330,2227,0,202302
1331,2121,0,202302
1332,1965,0,202302
1333,1698,0,202302
1334,1680,0,202302
1335,1655,0,202302
1336,1607,0,202302
1337,1173,0,202302
1338,1789,0,202302
1339,2602,0,202302
1340,73,0,202302
1341,401,0,202302
1342,915,0,202302
1343,1919,0,202302
1344,579,0,202302
1345,481,0,202302
1346,1342,0,202302
1347,1956,0,202302
1348,894,0,202302
1349,1239,0,202302
1350,2747,0,202302
1351,1699,0,202302
1352,1468,0,202302
1353,229,0,202302
1354,1144,0,202302
1355,1302,0,202302
1356,2280,0,202302
1357,541,0,202302
1358,1534,0,202302
1359,2734,0,202302
1360,697,0,202302
1361,1282,0,202302
1362,595,0,202302
1363,2248,0,202302
1364,2192,0,202302
1365,1215,0,202302
1366,2599,0,202302
1367,996,0,202302
1368,766,0,202302
1369,2118,0,202302
1370,78,0,202302
1371,638,0,202302
1372,2551,0,202302
1373,2763,0,202302
1374,978,0,202302
1375,1893,0,202302
1376,2804,0,202302
1377,1157,0,202302
1378,1772,0,202302
1379,436,0,202302
1380,804,0,202302
1381,1942,0,202302
1382,2540,0,202302
1383,110,0,202302
1384,1864,0,202302
1385,784,0,202302
1386,2665,0,202302
1387,1090,0,202302
1388,1855,0,202302
1389,526,0,202302
1390,77,0,202302
1391,177,0,202302
1392,742,0,202302
1393,1871,0,202302
1394,213,0,202302
1395,939,0,202302
1396,365,0,202302
1397,1047,0,202302
1398,2775,0,202302
1399,2315,0,202302
1400,1523,0,202302
