Rank,grid_id,Actual_Crime_Count,Target_Period,center_longitude,center_latitude,southwest_lat,southwest_lng,northeast_lat,northeast_lng,bounds
62,1223,1,202304,-82.5437231281,27.3033742236,27.302692404178508,-82.5444904327649,27.30405604302149,-82.5429558234351,"[(np.float64(27.302692404178508), np.float64(-82.5444904327649)), (np.float64(27.30405604302149), np.float64(-82.5429558234351))]"
63,2072,1,202304,-82.5238954526,27.3433363663,27.34265454687851,-82.52466303381432,27.34401818572149,-82.52312787138568,"[(np.float64(27.34265454687851), np.float64(-82.52466303381432)), (np.float64(27.34401818572149), np.float64(-82.52312787138568))]"
64,2818,1,202304,-82.5285681972,27.3543218752,27.35364005577851,-82.52933585453755,27.35500369462149,-82.52780053986245,"[(np.float64(27.35364005577851), np.float64(-82.52933585453755)), (np.float64(27.35500369462149), np.float64(-82.52780053986245))]"
65,2602,1,202304,-82.5761189287,27.3156230059,27.31494118647851,-82.57688631806911,27.31630482532149,-82.57535153933088,"[(np.float64(27.31494118647851), np.float64(-82.57688631806911)), (np.float64(27.31630482532149), np.float64(-82.57535153933088))]"
66,967,1,202304,-82.5471196768,27.3680042667,27.36732244727851,-82.54788742900921,27.368686086121492,-82.54635192459078,"[(np.float64(27.36732244727851), np.float64(-82.54788742900921)), (np.float64(27.368686086121492), np.float64(-82.54635192459078))]"
67,2768,1,202304,-82.545538713,27.3597581505,27.35907633107851,-82.54630640802382,27.36043996992149,-82.54477101797617,"[(np.float64(27.35907633107851), np.float64(-82.54630640802382)), (np.float64(27.36043996992149), np.float64(-82.54477101797617))]"
68,1913,1,202304,-82.5299645676,27.3240579858,27.32337616637851,-82.53073201533094,27.32473980522149,-82.52919711986907,"[(np.float64(27.32337616637851), np.float64(-82.53073201533094)), (np.float64(27.32473980522149), np.float64(-82.52919711986907))]"
69,900,1,202304,-82.5408239961,27.3405210708,27.33983925137851,-82.54159155781292,27.341202890221492,-82.54005643438708,"[(np.float64(27.33983925137851), np.float64(-82.54159155781292)), (np.float64(27.341202890221492), np.float64(-82.54005643438708))]"
70,1233,1,202304,-82.5346040751,27.3281664928,27.32748467337851,-82.53537155126705,27.328848312221492,-82.53383659893296,"[(np.float64(27.32748467337851), np.float64(-82.53537155126705)), (np.float64(27.328848312221492), np.float64(-82.53383659893296))]"
71,653,1,202304,-82.5313734217,27.2965447113,27.29586289187851,-82.53214067916001,27.297226530721492,-82.53060616423998,"[(np.float64(27.29586289187851), np.float64(-82.53214067916001)), (np.float64(27.297226530721492), np.float64(-82.53060616423998))]"
72,582,1,202304,-82.5454780659,27.347379914,27.34669809457851,-82.54624567512873,27.348061733421492,-82.54471045667127,"[(np.float64(27.34669809457851), np.float64(-82.54624567512873)), (np.float64(27.348061733421492), np.float64(-82.54471045667127))]"
73,108,1,202304,-82.5315963225,27.3433072712,27.34262545177851,-82.53236390351275,27.34398909062149,-82.53082874148724,"[(np.float64(27.34262545177851), np.float64(-82.53236390351275)), (np.float64(27.34398909062149), np.float64(-82.53082874148724))]"
